loinc_code,analyte,specimen,units,reference_low,reference_high,reference_source_name,reference_source_url,reference_source_quote,critical_low,critical_high,critical_source_name,critical_source_url,critical_source_quote,population,notes
2823-3,Potassium,Serum or Plasma,mmol/L,3.7,5.2,MedlinePlus Medical Encyclopedia — Potassium test,https://medlineplus.gov/ency/article/003484.htm,The normal range is 3.7 to 5.2 milliequivalents per liter (mEq/L).,2.5,6.0,StatPearls — Hyperkalemia / Hypokalemia (NCBI Bookshelf),https://www.ncbi.nlm.nih.gov/books/NBK470284/,Clinical manifestations generally appear at levels above 6.0 mEq/L.,adult-general,Critical low from the companion Hypokalemia chapter: serum potassium levels less than 2.5 mmol/L are classified as severe (NBK482465).
6298-4,Potassium,Whole Blood,mmol/L,3.7,5.2,MedlinePlus Medical Encyclopedia — Potassium test,https://medlineplus.gov/ency/article/003484.htm,The normal range is 3.7 to 5.2 milliequivalents per liter (mEq/L).,2.5,6.0,StatPearls — Hyperkalemia / Hypokalemia (NCBI Bookshelf),https://www.ncbi.nlm.nih.gov/books/NBK470284/,Clinical manifestations generally appear at levels above 6.0 mEq/L.,adult-general,Critical low from the companion Hypokalemia chapter (NBK482465).
2951-2,Sodium,Serum or Plasma,mmol/L,135.0,145.0,MedlinePlus Medical Encyclopedia — Sodium blood test,https://medlineplus.gov/ency/article/003481.htm,The normal range for blood sodium levels is 135 to 145 milliequivalents per liter (mEq/L).,125.0,,StatPearls — Hyponatremia (NCBI Bookshelf),https://www.ncbi.nlm.nih.gov/books/NBK470386/,Severe: < 125 mEq/L,adult-general,No critical high curated: no quotable published threshold was found for hypernatremia. The band is left empty rather than invented.
2947-0,Sodium,Whole Blood,mmol/L,135.0,145.0,MedlinePlus Medical Encyclopedia — Sodium blood test,https://medlineplus.gov/ency/article/003481.htm,The normal range for blood sodium levels is 135 to 145 milliequivalents per liter (mEq/L).,125.0,,StatPearls — Hyponatremia (NCBI Bookshelf),https://www.ncbi.nlm.nih.gov/books/NBK470386/,Severe: < 125 mEq/L,adult-general,No critical high curated.
2345-7,Glucose,Serum or Plasma,mg/dL,70.0,99.0,MedlinePlus Medical Encyclopedia — Blood sugar test,https://medlineplus.gov/ency/article/003482.htm,"If you had a fasting blood glucose test, a level of 70 to 99 mg/dL (3.9 and 5.5 mmol/L) is considered normal.",55.0,,StatPearls — Hypoglycemia (NCBI Bookshelf),https://www.ncbi.nlm.nih.gov/books/NBK534841/,"Hypoglycemia is often defined by a plasma glucose concentration below 70 mg/dL; however, signs and symptoms may not occur until plasma glucose concentrations drop below 55 mg/dL.",adult-general,The reference band is the fasting band. Synthea does not record fasting status; the docs say so.
2339-0,Glucose,Whole Blood,mg/dL,70.0,99.0,MedlinePlus Medical Encyclopedia — Blood sugar test,https://medlineplus.gov/ency/article/003482.htm,"If you had a fasting blood glucose test, a level of 70 to 99 mg/dL (3.9 and 5.5 mmol/L) is considered normal.",55.0,,StatPearls — Hypoglycemia (NCBI Bookshelf),https://www.ncbi.nlm.nih.gov/books/NBK534841/,"signs and symptoms may not occur until plasma glucose concentrations drop below 55 mg/dL",adult-general,The reference band is the fasting band.
17861-6,Calcium,Serum or Plasma,mg/dL,8.8,10.3,MedlinePlus Medical Encyclopedia — Calcium blood test,https://medlineplus.gov/ency/article/003477.htm,Normal values range from 8.8 to 10.3 mg/dL (2.20 and 2.58 mmol/L).,,14.0,StatPearls — Hypercalcemia (NCBI Bookshelf),https://www.ncbi.nlm.nih.gov/books/NBK430714/,Hypercalcemic crisis: 14.0 to 16.0 mg/dL,adult-general,No critical low curated: no quotable severity threshold was found for hypocalcemia.
49765-1,Calcium,Whole Blood,mg/dL,8.8,10.3,MedlinePlus Medical Encyclopedia — Calcium blood test,https://medlineplus.gov/ency/article/003477.htm,Normal values range from 8.8 to 10.3 mg/dL (2.20 and 2.58 mmol/L).,,14.0,StatPearls — Hypercalcemia (NCBI Bookshelf),https://www.ncbi.nlm.nih.gov/books/NBK430714/,Hypercalcemic crisis: 14.0 to 16.0 mg/dL,adult-general,No critical low curated.
2160-0,Creatinine,Serum or Plasma,mg/dL,0.5,1.3,MedlinePlus Medical Encyclopedia — Creatinine blood test,https://medlineplus.gov/ency/article/003475.htm,A normal result is 0.7 to 1.3 mg/dL (62 to 115 µmol/L) for men and 0.5 to 0.95 mg/dL (44 to 84 µmol/L) for women.,,,,,,adult-general,"Sex-specific bands are combined into one adult-general band (0.5–1.3), which is wider than either. The source quote carries both, so the narrower applicable band is always visible to the reader."
38483-4,Creatinine,Whole Blood,mg/dL,0.5,1.3,MedlinePlus Medical Encyclopedia — Creatinine blood test,https://medlineplus.gov/ency/article/003475.htm,A normal result is 0.7 to 1.3 mg/dL (62 to 115 µmol/L) for men and 0.5 to 0.95 mg/dL (44 to 84 µmol/L) for women.,,,,,,adult-general,Sex-specific bands combined; see the source quote.
